Identifiant de l'élément,Nom base français,Code de la catégorie,Statut de l'élément,CO2,Unité français
40963.0,"Barre céréalière ""équilibre"" aux fruits","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,2.46,kgCO2e/kg de poids net
40964.0,"Barre céréalière ""équilibre"" chocolatée","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,6.09,kgCO2e/kg de poids net
39789.0,"Bière ""coeur de marché"" (4-5° alcool)","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons alcoolisées",Valide générique,1.12,kgCO2e/kg de poids net
39790.0,"Bière ""de spécialités"" ou d'abbaye","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons alcoolisées",Valide générique,1.12,kgCO2e/kg de poids net
39791.0,"Bière ""spéciale"" (5-6° alcool)","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Boissons > Boissons alcoolisées",Valide générique,1.12,kgCO2e/kg de poids net
41052.0,"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minérau","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.4,kgCO2e/kg de poids net
41053.0,"Céréales pour petit déjeuner ""équilibre"" au chocolat","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.4,kgCO2e/kg de poids net
41054.0,"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.56,kgCO2e/kg de poids net
41055.0,"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque)","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.56,kgCO2e/kg de poids net
41056.0,"Céréales pour petit déjeuner ""équilibre"" aux fruits","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits",Valide générique,3.56,kgCO2e/kg de poids net
