Identifiant de l'élément,Nom base français,Code de la catégorie,Statut de l'élément,CO2,Unité français
28312.0,Appareil à raclettes 6-8p,Achats de biens > Machines et équipements > Electroménager,Valide générique,5.594333333333334,kgCO2e/unité
26990.0,Aspirateur ménager,Achats de biens > Machines et équipements > Electroménager,Valide générique,16.618333333333332,kgCO2e/unité
26996.0,Aspirateur professionnel,Achats de biens > Machines et équipements > Electroménager,Valide générique,27.661666666666665,kgCO2e/unité
28324.0,Ballon électrique chauffe-eau 200L,Achats de biens > Machines et équipements > Electroménager,Valide générique,53.27166666666667,kgCO2e/unité
28306.0,Bouilloire,Achats de biens > Machines et équipements > Electroménager,Valide générique,3.3028333333333335,kgCO2e/unité
28325.0,Climatiseur mobile,Achats de biens > Machines et équipements > Electroménager,Valide générique,79.64999999999999,kgCO2e/unité
26977.0,Congélateur,Achats de biens > Machines et équipements > Electroménager,Valide générique,119.41666666666667,kgCO2e/unité
34605.0,DEEE,Traitement des déchets > Ménages et assimilés > DEEE > Gros Electroménager Froid,Valide générique,177.25,kgCO2e/tonne de déchets
26986.0,Four,Achats de biens > Machines et équipements > Electroménager,Valide générique,180.39916666666667,kgCO2e/unité
26987.0,Gazinière,Achats de biens > Machines et équipements > Electroménager,Valide générique,54.36833333333333,kgCO2e/unité
28307.0,Hotte décorative,Achats de biens > Machines et équipements > Electroménager,Valide générique,20.138333333333332,kgCO2e/unité
28308.0,Hotte visière,Achats de biens > Machines et équipements > Electroménager,Valide générique,10.336666666666666,kgCO2e/unité
26982.0,Lave-linge,Achats de biens > Machines et équipements > Electroménager,Valide générique,107.83333333333333,kgCO2e/unité
26985.0,Lave-vaisselle,Achats de biens > Machines et équipements > Electroménager,Valide générique,163.06166666666667,kgCO2e/unité
28304.0,Machine à café,Achats de biens > Machines et équipements > Electroménager,Valide générique,11.331722222222222,kgCO2e/unité
26992.0,Machine à pain,Achats de biens > Machines et équipements > Electroménager,Valide générique,17.7,kgCO2e/unité
26989.0,Micro-onde,Achats de biens > Machines et équipements > Electroménager,Valide générique,32.79,kgCO2e/unité
26988.0,Mini-four,Achats de biens > Machines et équipements > Electroménager,Valide générique,27.566666666666666,kgCO2e/unité
28309.0,Plaques de cuisson,Achats de biens > Machines et équipements > Electroménager,Valide générique,22.046444444444447,kgCO2e/unité
28322.0,Radiateur électrique,Achats de biens > Machines et équipements > Electroménager,Valide générique,21.964250000000003,kgCO2e/unité
26976.0,Réfrigérateur,Achats de biens > Machines et équipements > Electroménager,Valide générique,57.4625,kgCO2e/unité
26975.0,Réfrigétateur,Achats de biens > Machines et équipements > Electroménager,Valide générique,99.91666666666667,kgCO2e/unité
26993.0,Robot multifonction,Achats de biens > Machines et équipements > Electroménager,Valide générique,13.768333333333333,kgCO2e/unité
26980.0,Séche linge,Achats de biens > Machines et équipements > Electroménager,Valide générique,88.705,kgCO2e/unité
26981.0,Sèche-linge,Achats de biens > Machines et équipements > Electroménager,Valide générique,100.64999999999999,kgCO2e/unité
26994.0,yaourtière,Achats de biens > Machines et équipements > Electroménager,Valide générique,7.233999999999999,kgCO2e/unité
